,city,country,continent,total_score,cost_of_life,remote_workers,internet,fun,nightlife,safety,lack_of_crime,walkability,racism,foreigners_friendly,freedom_of_speech,female_friendly,LGBTQ_friendly,english_speaking,latitude,longitude,near_beach,photo
62,Rio De Janeiro,Brazil,Latin America,3.9,1648,826.0,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Bad,-22.9110137,-43.2093727,Yes,https://nomadlist.com/assets/img/places/rio-de-janeiro-brazil.jpg?1653091307
63,Lagos Algarve,Portugal,Europe,3.84,2183,459.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.1489538,-8.702467283736809,Yes,https://nomadlist.com/assets/img/places/lagos-portugal.jpg?1655769680
64,New York City,United States,North America,3.97,5296,2697.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,40.7127281,-74.0060152,Yes,https://nomadlist.com/assets/img/places/new-york-city-ny-united-states.jpg?1646352061
65,Tallinn,Estonia,Europe,3.88,2159,829.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,59.4372155,24.7453688,No,https://nomadlist.com/assets/img/places/tallinn-estonia.jpg?1646956887
66,Ho Chi Minh City,Vietnam,Asia,3.76,960,1483.0,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,10.7715512,106.6983801,No,https://nomadlist.com/assets/img/places/ho-chi-minh-city-vietnam.jpg?1642529078
67,Denver,United States,North America,3.9,3704,878.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Good,39.7392364,-104.9848623,No,https://nomadlist.com/assets/img/places/denver-co-united-states.jpg?1642723334
68,Vienna,Austria,Europe,3.9,2812,1376.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,48.2083537,16.3725042,No,https://nomadlist.com/assets/img/places/vienna-austria.jpg?1653091305
69,Cancun,Mexico,Latin America,3.8,1291,761.0,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,21.1617854,-86.8510468,Yes,https://nomadlist.com/assets/img/places/cancun-mexico.jpg?1654733222
70,Washington,United States,North America,3.75,6075,756.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,38.8950368,-77.0365427,No,https://nomadlist.com/assets/img/places/washington-dc-united-states.jpg?1653091370
71,Boston,United States,North America,3.7,6115,971.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.3602534,-71.0582912,Yes,https://nomadlist.com/assets/img/places/boston-ma-united-states.jpg?1653091382
